idna_subject,checker_type,destination,source,tested_at,session_id
006aa.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:33:58.727055+00:00,f68b304876994d0058fbc0fa
007aa.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:33:58.765589+00:00,f68b304876994d0058fbc0fa
009aa.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:04.485725+00:00,f68b304876994d0058fbc0fa
009ab.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:04.509066+00:00,f68b304876994d0058fbc0fa
055sds.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:12.033916+00:00,f68b304876994d0058fbc0fa
069sds.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:12.095277+00:00,f68b304876994d0058fbc0fa
075sds.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:18.127709+00:00,f68b304876994d0058fbc0fa
084sds.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:18.505637+00:00,f68b304876994d0058fbc0fa
16xjj.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:27.191482+00:00,f68b304876994d0058fbc0fa
2sepi8.cam,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:31.969522+00:00,f68b304876994d0058fbc0fa
494989.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:38.361900+00:00,f68b304876994d0058fbc0fa
64sds.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:44.712196+00:00,f68b304876994d0058fbc0fa
75sds.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:46.992439+00:00,f68b304876994d0058fbc0fa
883883.vip,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:54.074276+00:00,f68b304876994d0058fbc0fa
9s104.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:34:57.897725+00:00,f68b304876994d0058fbc0fa
9s218.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:00.161665+00:00,f68b304876994d0058fbc0fa
9s228.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:03.563236+00:00,f68b304876994d0058fbc0fa
9s230.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:05.845312+00:00,f68b304876994d0058fbc0fa
9s245.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:09.244096+00:00,f68b304876994d0058fbc0fa
a9385.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:12.393786+00:00,f68b304876994d0058fbc0fa
ala98.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:22.803091+00:00,f68b304876994d0058fbc0fa
app512.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:27.421786+00:00,f68b304876994d0058fbc0fa
asiansexhub.biz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:30.782521+00:00,f68b304876994d0058fbc0fa
b96pj.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:37.204806+00:00,f68b304876994d0058fbc0fa
banwoqiche.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:40.140804+00:00,f68b304876994d0058fbc0fa
bbq09.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:46.730451+00:00,f68b304876994d0058fbc0fa
bigassmovs.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:51.671330+00:00,f68b304876994d0058fbc0fa
bopaikeji.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:35:58.678741+00:00,f68b304876994d0058fbc0fa
china-elements.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:06.461970+00:00,f68b304876994d0058fbc0fa
choidangcap5.cc,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:08.888613+00:00,f68b304876994d0058fbc0fa
chopcdn.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:12.427016+00:00,f68b304876994d0058fbc0fa
clean69.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:16.737273+00:00,f68b304876994d0058fbc0fa
cliphot69.win,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:18.445010+00:00,f68b304876994d0058fbc0fa
cngxxg.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:24.977715+00:00,f68b304876994d0058fbc0fa
cqytm.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:28.868269+00:00,f68b304876994d0058fbc0fa
cu0cc0.cn,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:33.424630+00:00,f68b304876994d0058fbc0fa
damlon.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:40.374081+00:00,f68b304876994d0058fbc0fa
dachuanco.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:41.561044+00:00,f68b304876994d0058fbc0fa
dfkingfox.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:48.433116+00:00,f68b304876994d0058fbc0fa
dianguang14.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:49.751254+00:00,f68b304876994d0058fbc0fa
ditnhau.online,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:55.102282+00:00,f68b304876994d0058fbc0fa
dlccxx.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:36:55.924026+00:00,f68b304876994d0058fbc0fa
dmm3388.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:02.250836+00:00,f68b304876994d0058fbc0fa
east-sh.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:10.956452+00:00,f68b304876994d0058fbc0fa
ebonyporn.icu,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:16.824363+00:00,f68b304876994d0058fbc0fa
esshanwang.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:26.556703+00:00,f68b304876994d0058fbc0fa
fh-yuantong.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:38.683692+00:00,f68b304876994d0058fbc0fa
freeasianporn.icu,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:47.530080+00:00,f68b304876994d0058fbc0fa
freepornbb.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:53.609455+00:00,f68b304876994d0058fbc0fa
dycgkh.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:37:55.907800+00:00,f68b304876994d0058fbc0fa
fsiblog.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:00.935825+00:00,f68b304876994d0058fbc0fa
fu255.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:02.363035+00:00,f68b304876994d0058fbc0fa
fubonhc.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:06.687548+00:00,f68b304876994d0058fbc0fa
gaidepvn.xyz,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:13.800712+00:00,f68b304876994d0058fbc0fa
gaigoivina.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:15.227109+00:00,f68b304876994d0058fbc0fa
ggnav.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:24.043551+00:00,f68b304876994d0058fbc0fa
goigai.cloud,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:28.061219+00:00,f68b304876994d0058fbc0fa
goigai.one,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:30.013214+00:00,f68b304876994d0058fbc0fa
gsxww.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:35.280910+00:00,f68b304876994d0058fbc0fa
gu20e0.cn,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:36.884691+00:00,f68b304876994d0058fbc0fa
gxhsz.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:42.312180+00:00,f68b304876994d0058fbc0fa
gzcd56.com,AVAILABILITY,origin.list,origin.list,2026-07-18 21:38:43.928812+00:00,f68b304876994d0058fbc0fa
